DriverID,Nationality,BirthDate,DriverName
button,British,1980-01-19,Jenson Button
raikkonen,Finnish,1979-10-17,Kimi Räikkönen
alonso,Spanish,1981-07-29,Fernando Alonso
massa,Brazilian,1981-04-25,Felipe Massa
rosberg,German,1985-06-27,Nico Rosberg
hamilton,British,1985-01-07,Lewis Hamilton
sutil,German,1983-01-11,Adrian Sutil
kubica,Polish,1984-12-07,Robert Kubica
vettel,German,1987-07-03,Sebastian Vettel
hulkenberg,German,1987-08-19,Nico Hülkenberg
kobayashi,Japanese,1986-09-13,Kamui Kobayashi
maldonado,Venezuelan,1985-03-09,Pastor Maldonado
perez,Mexican,1990-01-26,Sergio Pérez
ricciardo,Australian,1989-07-01,Daniel Ricciardo
vergne,French,1990-04-25,Jean-Éric Vergne
grosjean,French,1986-04-17,Romain Grosjean
gutierrez,Mexican,1991-08-05,Esteban Gutiérrez
bottas,Finnish,1989-08-28,Valtteri Bottas
jules_bianchi,French,1989-08-03,Jules Bianchi
chilton,British,1991-04-21,Max Chilton
kevin_magnussen,Danish,1992-10-05,Kevin Magnussen
kvyat,Russian,1994-04-26,Daniil Kvyat
ericsson,Swedish,1990-09-02,Marcus Ericsson
nasr,Brazilian,1992-08-21,Felipe Nasr
sainz,Spanish,1994-09-01,Carlos Sainz
max_verstappen,Dutch,1997-09-30,Max Verstappen
merhi,Spanish,1991-03-22,Roberto Merhi
stevens,British,1991-06-28,Will Stevens
jolyon_palmer,British,1991-01-20,Jolyon Palmer
wehrlein,German,1994-10-18,Pascal Wehrlein
haryanto,Indonesian,1993-01-22,Rio Haryanto
vandoorne,Belgian,1992-03-26,Stoffel Vandoorne
ocon,French,1996-09-17,Esteban Ocon
giovinazzi,Italian,1993-12-14,Antonio Giovinazzi
stroll,Canadian,1998-10-29,Lance Stroll
leclerc,Monegasque,1997-10-16,Charles Leclerc
brendon_hartley,New Zealander,1989-11-10,Brendon Hartley
gasly,French,1996-02-07,Pierre Gasly
sirotkin,Russian,1995-08-27,Sergey Sirotkin
norris,British,1999-11-13,Lando Norris
albon,Thai,1996-03-23,Alexander Albon
russell,British,1998-02-15,George Russell
latifi,Canadian,1995-06-29,Nicholas Latifi
tsunoda,Japanese,2000-05-11,Yuki Tsunoda
mick_schumacher,German,1999-03-22,Mick Schumacher
mazepin,Russian,1999-03-02,Nikita Mazepin
zhou,Chinese,1999-05-30,Guanyu Zhou
sargeant,American,2000-12-31,Logan Sargeant
de_vries,Dutch,1995-02-06,Nyck de Vries
piastri,Australian,2001-04-06,Oscar Piastri
bearman,British,2005-05-08,Oliver Bearman
antonelli,Italian,2006-08-25,Andrea Kimi Antonelli
lawson,New Zealander,2002-02-11,Liam Lawson
bortoleto,Brazilian,2004-10-14,Gabriel Bortoleto
doohan,Australian,2003-01-20,Jack Doohan
hadjar,French,2004-09-28,Isack Hadjar
